"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-04-02","Niedziela","NIEDZIELA MĘKI PAŃSKIEJ (PALMOWA)
Św. Franciszka Z Pauli, Pustelnika
","Iz 50,4-7, Ps 22,8-9.17-20.23-24, Flp 2,6-11, Mt 26,14-27,66"
"2023-04-03","Poniedziałek","WIELKI PONIEDZIAŁEK

","Iz 42,1-7, Ps 27,1-3.13-14, J 12,1-11"
"2023-04-04","Wtorek","WIELKI WTOREK
Św. Izydora, Biskupa I Doktora Kościoła
","Iz 49,1-6, Ps 71,1-6.15.17, J 13,21-33.36-38"
"2023-04-05","Środa","WIELKA ŚRODA
Św. Wincentego Ferreriusza, Prezbitera
","Iz 50,4-9a, Ps 69,8-10.21-22.31.33-34, Mt 26,14-25"
"2023-04-06","Czwartek","Msza Krzyżma

","Iz 61,1-3a.6a.8b-9, Ps 89,21-22.25.27, Ap 1,4-8, Łk 4,16-21, Wj 12,1-8.11-14, Ps 116,12-13.15-18, 1 Kor 11,23-26, J 13,1-15"
"2023-04-07","Piątek","
Św. Jana Chrzciciela De La Salle, Prezbitera
","Iz 52,13-53,12, Ps 31,2.6.12-13.15-17.25, Hbr 4,14-16;5,7-9, J 18,1-19,42"
"2023-04-08","","",""
"2023-04-09","Niedziela","Wigilia Paschalna

","Rdz 1,1-2,2, Ps 104,1-2a.5-6.10.12-14.24.35c, Rdz 22,1-18; Ps 16,5.8-11; Wj 14,15-15,1; Wj 15,1-2.4-5.17-18; Iz 54,4a.5-14; Ps 30,2.45-6.11-13; Iz 55,1-11; Iz 12,2.3-5; Ba 3,9-15.32-4,4; Ps 19,8-11; Ez 36,16-17a.18-28; Ps 42,2-3, Ps 43,3.4; Rz 6,3-11; Ps 118,1-2.16-17.22-23;, Mt 28,1-10, Dz 10,34a-37-43, Ps 118, Kol 3,1-4 lub 1 Kor 5,6b-8, J 20,1-9 lub Łk 24,13-35"
"2023-04-10","Poniedziałek","

","Dz 2,14.22-32, Ps 16,1-2.5.7-11, Mt 28,8-15"
"2023-04-11","Wtorek","Oktawa Uroczystości Zmartwychwstania

","Dz 2,36-41, Ps 33,4-5.18-20.22, J 20,11-18"
"2023-04-12","Środa","Oktawa Uroczystości Zmartwychwstania

","Dz 3,1-10, Ps 105,1-4.8-9, Łk 24,13-35"
"2023-04-13","Czwartek","Oktawa Uroczystości Zmartwychwstania
Św. Marcina I, Papieża I Męczennika
","Dz 3,11-26, Ps 8,2.5-9, Łk 24,35-48"
"2023-04-14","Piątek","Oktawa Uroczystości Zmartwychwstania

","Dz 4,1-12, Ps 118,1.4.22-25, J 21,1-14"
"2023-04-15","Sobota","Oktawa Uroczystości Zmartwychwstania

","Dz 4,13-21, Ps 118,1.14-16.18.21, Mk 16,9-15"
"2023-04-16","Niedziela","NIEDZIELA MIŁOSIERDZIA BOŻEGO

","Dz 2,42-47, Ps 118,1.4.13-14.22.24, 1 P 1,3-9, J 20,19-31"
"2023-04-17","Poniedziałek","

","Dz 4,23-31, Ps 2,1-2.4-5.7-8, J 3,1-8"
"2023-04-18","Wtorek","

","Dz 4,32-37, Ps 93,1-5, J 3,7-15"
"2023-04-19","Środa","

","Dz 5,17-26, Ps 34,2-9, J 3,16-21"
"2023-04-20","Czwartek","

","Dz 5,27-33, Ps 34,2.9.17-20, J 3,31-36"
"2023-04-21","Piątek","
Św. Anzelma, Biskupa I Doktora Kościoła
","Dz 5,34-42, Ps 27,1.4.13-14, J 6,1-15"
"2023-04-22","Sobota","

","Dz 6,1-7, Ps 33,1-2.4-5.18-19, J 6,16-21"
"2023-04-23","Niedziela","Uroczystość św. Wojciecha, biskupa i męczennika, gównego patrona Polski
Św. Wojciecha, Biskupa I Męczennika, Głównego Patrona Polski, Archidiecezji Gnieźnieńskiej, Gdańskiej I Warmińskiej Oraz Diecezji Koszalińsko-Kołobrzeskiej I Elbląskiej
","Dz 1,3-8, Ps 126,1-6, Flp 1,20c-30, J 12,24-26, Dz 2,14.22-28, Ps 16,1-2.5.7-11, 1 P 1,17-21, Łk 24,13-35"
"2023-04-24","Poniedziałek","
Św. Fidelisa Z Sigmaringen, Prezbitera I Męczennika
","Dz 6,8-15, Ps 119,23-24.26-27.29-30, J 6,22-29"
"2023-04-25","Wtorek","Święto św. Marka, Ewangelisty
Św. Marka Ewangelisty
","1 P 5,5b-14, Ps 89,2-3.6-7.16-17, Mk 16,15-20"
"2023-04-26","Środa","

","Dz 8,1b-8, Ps 66,1-7, J 6,35-40"
"2023-04-27","Czwartek","

","Dz 8,26-40, Ps 66,8-9.16-17.19-20, J 6,44-51"
"2023-04-28","Piątek","
Św. Piotra Chanela, Prezbitera I Męczennika
","Dz 9,1-20, Ps 117,1-2, J 6,52-59"
"2023-04-29","Sobota","
Św. Katarzyny Sieneńskiej, Dziewicy I Doktora Kościoła, Patronki Europy
","Dz 9,31-42, Ps 116,12-17, J 6,55.60-69"
"2023-04-30","Niedziela","IV NIEDZIELA WIELKANOCNA
Św. Piusa V, Papieża
","Dz 2,14a.36-41, Ps 23,1-6, 1 P 2,20b-25, J 10,1-10"
"2023-05-01","Poniedziałek","
Św. Józefa, Rzemieślnika
","Dz 11,1-18, Ps 42,2-3; Ps 43,3-4, J 10,11-18"
"2023-05-02","Wtorek","
Św. Atanazego, Biskupa I Doktora Kościoła
","Dz 11,19-26, Ps 87,1-7, J 10,22-30"
"2023-05-03","Środa","Uroczystość Najświętszej Maryi Panny Królowej Polski
Najśw. Maryi Panny, Królowej Polski, Głównej Patronki Polski I Archidiecezji Częstochowskiej I Przemyskiej Oraz Diecezji Polowej
","Ap 11,19a;12,1.3-6a.10ab, Ps: Jdt 13,18-20, Kol 1,12-16, J 19,25-27"
"2023-05-04","Czwartek","
Św. Floriana, Męczennika
","Dz 13,13-25, Ps 89,2-3.21-22.25.27, J 13,16-20"
"2023-05-05","Piątek","
Bł. Stanisława Kazimierczyka, Prezbitera
","Dz 13,26-33, Ps 2,6-11, J 14,1-6"
"2023-05-06","Sobota","Święto św. Apostołów Filipa i Jakuba
Świętych Apostołów Filipa I Jakuba
","1 Kor 15,1-8, Ps 19,2-5, J 14,6-14"
